date,school,district,school_type,campaign,campaign_phase,platform,content_type,boosted,target_grade,target_gender,on_ground_support,spend_zar,budget_allocated_zar,impressions,engagements,clicks,link_clicks,page_views,form_starts,registrations,confirmed_enrollments,counsellor_referrals,ctr,engagement_rate,link_click_rate,page_view_rate,form_start_rate,completion_rate,conversion_rate,enrollment_rate,cost_per_registration,cost_per_enrollment,budget_utilisation
2026-05-24,Rosebank Academy,Rosebank,Public,Career Day,Close,Instagram,Video,True,Grade 11,All,False,402.27,346.4,7631,608.0,388.0,236.0,169.0,78.0,8.0,4.0,22.0,0.050845236535185426,0.07967500982833181,0.6082474226804123,0.7161016949152542,0.46153846153846156,0.10256410256410256,0.00104835539247805,0.5,50.28375,100.5675,1.1612875288683604
2026-07-06,Midrand High,Midrand,Public,Career Day,Close,Facebook,Static,True,Grade 12,All,True,122.89,146.83,2550,162.0,183.0,97.0,66.0,33.0,4.0,0.0,11.0,0.07176470588235294,0.06352941176470588,0.5300546448087432,0.6804123711340206,0.5,0.12121212121212122,0.001568627450980392,0.0,30.7225,,0.8369543008921881
2026-04-19,Randburg High,Randburg,Public,Literacy Week,Mid,WhatsApp,Carousel,True,Both,All,False,54.29,54.87,1919,497.0,310.0,184.0,115.0,48.0,9.0,4.0,0.0,0.16154247003647734,0.2589890568004169,0.5935483870967742,0.625,0.41739130434782606,0.1875,0.004689942678478374,0.4444444444444444,6.032222222222222,13.5725,0.9894295607800255
2026-05-21,Rosebank Academy,Rosebank,Public,Career Day,Close,Facebook,Carousel,True,Grade 12,Female,True,462.97,551.01,9937,874.0,501.0,0.0,161.0,80.0,15.0,6.0,19.0,0.050417631075777396,0.08795411089866156,0.0,0.0,0.4968944099378882,0.1875,0.001509509912448425,0.4,30.86466666666667,77.16166666666668,0.8402206856499883
2026-04-17,Randburg High,Randburg,Public,Stem Drive,Mid,TikTok,Story,True,Grade 11,Female,False,299.27,333.49,6924,1509.0,819.0,441.0,331.0,119.0,19.0,10.0,32.0,0.1182842287694974,0.2179376083188908,0.5384615384615384,0.7505668934240363,0.3595166163141994,0.15966386554621848,0.0027440785673021376,0.5263157894736842,15.751052631578947,29.927,0.8973882275330594
2026-05-30,Sandton College,Sandton,Public,Digital Skills Push,Close,TikTok,Static,True,Grade 11,Male,False,166.3,183.79,5250,901.0,778.0,337.0,226.0,79.0,0.0,4.0,23.0,0.14819047619047618,0.17161904761904762,0.43316195372750643,0.6706231454005934,0.3495575221238938,0.0,0.0,0.0,,41.575,0.9048370422765113
2026-04-16,Sandton College,Sandton,Public,Stem Drive,Mid,WhatsApp,Carousel,True,Grade 12,Male,True,104.85,117.93,3675,975.0,0.0,660.0,518.0,232.0,60.0,27.0,47.0,0.0,0.2653061224489796,0.0,0.7848484848484848,0.44787644787644787,0.25862068965517243,0.0163265306122449,0.45,1.7474999999999998,3.8833333333333333,0.8890867463749681
2026-04-18,Alexandra School,Alexandra,No-Fee Public,Stem Drive,Mid,Instagram,Carousel,True,Both,All,False,446.8,417.11,7910,905.0,715.0,361.0,232.0,110.0,5.0,2.0,54.0,0.09039190897597978,0.11441213653603034,0.5048951048951049,0.6426592797783933,0.47413793103448276,0.045454545454545456,0.0006321112515802782,0.4,89.36,223.4,1.0711802641988923
2026-04-01,Alexandra School,Alexandra,No-Fee Public,Stem Drive,Launch,WhatsApp,Static,True,Grade 11,Female,True,37.64,43.64,1470,295.0,375.0,170.0,140.0,71.0,5.0,3.0,23.0,0.25510204081632654,0.20068027210884354,0.4533333333333333,0.8235294117647058,0.5071428571428571,0.07042253521126761,0.003401360544217687,0.6,7.5280000000000005,12.546666666666667,0.8625114573785518
2026-05-04,Soweto Academy,Soweto,No-Fee Public,Stem Drive,Launch,TikTok,Video,False,Grade 12,Female,False,0.0,0.0,2186,524.0,323.0,189.0,157.0,0.0,4.0,1.0,27.0,0.14775846294602013,0.23970722781335774,0.5851393188854489,0.8306878306878307,0.0,0.0,0.0018298261665141812,0.25,0.0,0.0,
