date,school,district,school_type,campaign,campaign_phase,platform,content_type,boosted,target_grade,target_gender,on_ground_support,spend_zar,budget_allocated_zar,impressions,engagements,clicks,link_clicks,page_views,form_starts,registrations,confirmed_enrollments,counsellor_referrals
2026-05-24,Rosebank Academy,Rosebank,Public,career day,Close,IG,Video,True,Grade 11,All,False,402.27,346.4,7631,608.0,388.0,236.0,169.0,78.0,8.0,4.0,22.0
2026-06-07,MIDRAND HIGH,Midrand,Public,CAREER DAY,Close,fb,Static,True,Grade 12,All,True,122.89,146.83,2550,162.0,183.0,97.0,66.0,33.0,4.0,,11.0
19-04-2026,Randburg High,Randburg,Public,Literacy Week,Mid,WhatsApp,Carousel,True,Both,All,False,54.29,54.87,1919,497.0,310.0,184.0,115.0,48.0,9.0,4.0,
2026-05-21,ROSEBANK ACADEMY,Rosebank,Public,Career Day,Close,Facebook,Carousel,True,Grade 12,Female,True,462.97,551.01,9937,874.0,501.0,,161.0,80.0,15.0,6.0,19.0
2026/04/17,Randburg High,Randburg,Public,STEM Drive,Mid,TT,Story,True,Grade 11,Female,False,299.27,333.49,6924,1509.0,819.0,441.0,331.0,119.0,19.0,10.0,32.0
30/05/2026,sandton college,Sandton,Public,digital skills push,Close,TikTok,Static,True,Grade 11,Male,False,166.3,183.79,5250,901.0,778.0,337.0,226.0,79.0,,4.0,23.0
2026-04-16,SANDTON COLLEGE,Sandton,Public,STEM Drive,Mid,WA,Carousel,True,Grade 12,Male,True,104.85,117.93,3675,975.0,,660.0,518.0,232.0,60.0,27.0,47.0
2026-04-18,ALEXANDRA SCHOOL,Alexandra,No-Fee Public,stem drive,Mid,instagram,Carousel,True,Both,All,False,446.8,417.11,7910,905.0,715.0,361.0,232.0,110.0,5.0,2.0,54.0
2026/06/11,,Johannesburg South,Public,Literacy Week,Close,IG,Video,False,Grade 11,Male,True,0.0,0.0,1599,211.0,146.0,101.0,70.0,22.0,3.0,,11.0
01/04/2026,ALEXANDRA SCHOOL,Alexandra,No-Fee Public,stem drive,Launch,WA,Static,True,Grade 11,Female,True,37.64,43.64,1470,295.0,375.0,170.0,140.0,71.0,5.0,3.0,23.0
